metode;size;bit;pca ;tipe kernel;c;acc
bsif;11x11;9;1;linear;100;98,333
bsif;11x11;9;1;linear;10;98,333
bsif;11x11;9;1;linear;1;98,333
bsif;17x17;5;1;linear;100;98,333
bsif;17x17;5;1;linear;10;98,333
bsif;17x17;5;1;linear;1;98,333
bsif;13x13;8;1;linear;100;98,281
bsif;13x13;8;1;linear;10;98,281
bsif;13x13;8;1;linear;1;98,281
bsif;17x17;6;0,4;linear;100;98,229
bsif;17x17;6;0,4;linear;10;98,229
bsif;17x17;6;0,4;linear;1;98,229
bsif;9x9;10;1;linear;100;98,229
bsif;9x9;10;0,8;linear;100;98,229
bsif;9x9;10;1;linear;10;98,229
bsif;9x9;10;0,8;linear;10;98,229
bsif;9x9;10;1;linear;1;98,229
bsif;9x9;10;0,8;linear;1;98,229
bsif;15x15;6;0,6;linear;1;98,177
bsif;11x11;9;0,8;linear;100;98,177
bsif;11x11;9;0,8;linear;10;98,177
bsif;11x11;9;0,8;linear;1;98,177
bsif;13x13;8;0,8;linear;100;98,177
bsif;13x13;8;0,8;linear;10;98,177
bsif;13x13;8;0,8;linear;1;98,177
bsif;11x11;10;1;linear;100;98,177
bsif;11x11;10;1;linear;10;98,177
bsif;11x11;10;1;linear;1;98,177
bsif;15x15;6;0,6;linear;100;98,125
bsif;15x15;6;0,6;linear;10;98,125
bsif;13x13;8;0,6;linear;100;98,125
bsif;13x13;9;0,4;linear;1;98,125
bsif;15x15;12;0,4;linear;100;98,125
bsif;11x11;10;0,8;linear;100;98,125
bsif;11x11;10;0,8;linear;10;98,125
bsif;11x11;10;0,8;linear;1;98,125
bsif;13x13;10;0,4;linear;10;98,125
bsif;13x13;10;0,4;linear;1;98,125
bsif;15x15;7;0,4;linear;100;98,073
bsif;13x13;8;0,6;linear;10;98,073
bsif;13x13;9;0,4;linear;100;98,073
bsif;13x13;9;0,4;linear;10;98,073
bsif;11x11;10;0,6;linear;100;98,073
bsif;13x13;10;0,4;linear;100;98,073
bsif;13x13;11;0,4;linear;1;98,021
bsif;13x13;7;1;linear;100;98,021
bsif;13x13;7;1;linear;10;98,021
bsif;13x13;7;1;linear;1;98,021
bsif;15x15;7;0,4;linear;1;98,021
bsif;15x15;12;0,4;linear;1;98,021
bsif;13x13;8;0,6;linear;1;98,021
bsif;11x11;10;0,6;linear;10;98,021
bsif;11x11;10;0,6;linear;1;98,021
bsif;9x9;10;0,6;linear;100;98,021
bsif;9x9;10;0,6;linear;10;98,021
bsif;9x9;10;0,6;linear;1;98,021
bsif;13x13;7;0,8;linear;100;97,969
bsif;13x13;7;0,8;linear;10;97,969
bsif;13x13;7;0,8;linear;1;97,969
bsif;13x13;11;0,4;linear;100;97,969
bsif;13x13;11;0,4;linear;10;97,969
bsif;15x15;7;0,4;linear;10;97,969
bsif;13x13;12;0,6;linear;1;97,969
bsif;13x13;12;1;linear;100;97,969
bsif;13x13;12;1;linear;10;97,969
bsif;13x13;12;1;linear;1;97,969
bsif;15x15;12;0,4;linear;10;97,917
bsif;13x13;12;0,6;linear;10;97,917
bsif;13x13;12;0,6;linear;100;97,917
bsif;11x11;11;1;linear;100;97,917
bsif;11x11;11;1;linear;10;97,917
bsif;11x11;11;1;linear;1;97,917
bsif;17x17;5;0,4;linear;1;97,865
bsif;15x15;10;0,2;linear;10;97,813
bsif;11x11;11;0,8;linear;100;97,813
bsif;11x11;11;0,8;linear;10;97,813
bsif;11x11;11;0,8;linear;1;97,813
bsif;13x13;12;0,8;linear;100;97,812
bsif;13x13;12;0,8;linear;10;97,812
bsif;13x13;12;0,8;linear;1;97,812
bsif;13x13;7;0,6;linear;100;97,76
bsif;13x13;7;0,6;linear;10;97,76
bsif;13x13;7;0,6;linear;1;97,76
bsif;11x11;9;0,6;linear;100;97,76
bsif;11x11;9;0,6;linear;10;97,76
bsif;11x11;9;0,6;linear;1;97,76
bsif;15x15;10;0,2;linear;100;97,76
