metode;size;bit;pca;tipe kernel;c;acc
mtcd+bsif;9x9;7;0,8;linear;10;99,896
mtcd+bsif;9x9;7;1;linear;1;99,896
mtcd+bsif;9x9;7;0,8;linear;1;99,896
mtcd+bsif;13x13;7;1;linear;100;99,896
mtcd+bsif;13x13;7;0,8;linear;100;99,896
mtcd+bsif;13x13;7;0,6;linear;100;99,896
mtcd+bsif;13x13;7;0,4;linear;100;99,896
mtcd+bsif;13x13;7;1;linear;10;99,896
mtcd+bsif;13x13;7;0,8;linear;10;99,896
mtcd+bsif;13x13;7;0,6;linear;10;99,896
mtcd+bsif;13x13;7;0,4;linear;10;99,896
mtcd+bsif;13x13;7;1;linear;1;99,896
mtcd+bsif;13x13;7;0,8;linear;1;99,896
mtcd+bsif;13x13;7;0,6;linear;1;99,896
mtcd+bsif;13x13;7;0,4;linear;1;99,896
mtcd+bsif;11x11;9;1;linear;100;99,896
mtcd+bsif;11x11;9;0,8;linear;100;99,896
mtcd+bsif;11x11;9;0,6;linear;100;99,896
mtcd+bsif;11x11;9;1;linear;10;99,896
mtcd+bsif;11x11;9;0,8;linear;10;99,896
mtcd+bsif;11x11;9;0,6;linear;10;99,896
mtcd+bsif;11x11;9;1;linear;1;99,896
mtcd+bsif;11x11;9;0,8;linear;1;99,896
mtcd+bsif;11x11;9;0,6;linear;1;99,896
mtcd+bsif;11x11;7;1;linear;100;99,896
mtcd+bsif;11x11;7;0,8;linear;100;99,896
mtcd+bsif;11x11;7;0,6;linear;100;99,896
mtcd+bsif;11x11;7;0,4;linear;100;99,896
mtcd+bsif;11x11;7;1;linear;10;99,896
mtcd+bsif;11x11;7;0,8;linear;10;99,896
mtcd+bsif;11x11;7;0,6;linear;10;99,896
mtcd+bsif;11x11;7;0,4;linear;10;99,896
mtcd+bsif;11x11;7;1;linear;1;99,896
mtcd+bsif;11x11;7;0,8;linear;1;99,896
mtcd+bsif;11x11;7;0,6;linear;1;99,896
mtcd+bsif;11x11;7;0,4;linear;1;99,896
mtcd+bsif;17x17;11;1;rbf;100;99,896
mtcd+bsif;17x17;11;0,8;rbf;100;99,896
mtcd+bsif;17x17;11;0,6;rbf;100;99,896
mtcd+bsif;17x17;11;0,4;rbf;100;99,896
mtcd+bsif;17x17;11;0,2;rbf;100;99,896
mtcd+bsif;17x17;11;1;rbf;10;99,896
mtcd+bsif;17x17;11;0,8;rbf;10;99,896
mtcd+bsif;17x17;11;0,6;rbf;10;99,896
mtcd+bsif;17x17;11;0,4;rbf;10;99,896
mtcd+bsif;17x17;11;0,2;rbf;10;99,896
mtcd+bsif;15x15;10;1;rbf;100;99,896
mtcd+bsif;15x15;10;0,8;rbf;100;99,896
mtcd+bsif;15x15;10;0,6;rbf;100;99,896
mtcd+bsif;15x15;10;0,4;rbf;100;99,896
mtcd+bsif;15x15;10;0,2;rbf;100;99,896
mtcd+bsif;15x15;10;1;rbf;10;99,896
mtcd+bsif;15x15;10;0,8;rbf;10;99,896
mtcd+bsif;15x15;10;0,6;rbf;10;99,896
mtcd+bsif;15x15;10;0,4;rbf;10;99,896
mtcd+bsif;15x15;10;0,2;rbf;10;99,896
mtcd+bsif;15x15;10;1;rbf;1;99,896
mtcd+bsif;15x15;10;0,8;rbf;1;99,896
mtcd+bsif;15x15;10;0,6;rbf;1;99,896
mtcd+bsif;15x15;9;1;rbf;100;99,896
mtcd+bsif;15x15;9;0,8;rbf;100;99,896
mtcd+bsif;15x15;9;0,6;rbf;100;99,896
mtcd+bsif;15x15;9;0,4;rbf;100;99,896
mtcd+bsif;15x15;9;1;rbf;10;99,896
mtcd+bsif;15x15;9;0,8;rbf;10;99,896
mtcd+bsif;15x15;9;0,6;rbf;10;99,896
mtcd+bsif;15x15;9;0,4;rbf;10;99,896
mtcd+bsif;15x15;9;0,4;rbf;1;99,896
mtcd+bsif;13x13;10;1;rbf;100;99,896
mtcd+bsif;13x13;10;0,8;rbf;100;99,896
mtcd+bsif;13x13;10;0,6;rbf;100;99,896
mtcd+bsif;13x13;10;0,4;rbf;100;99,896
mtcd+bsif;13x13;10;1;rbf;10;99,896
mtcd+bsif;13x13;10;0,8;rbf;10;99,896
mtcd+bsif;13x13;10;0,6;rbf;10;99,896
mtcd+bsif;13x13;10;0,4;rbf;10;99,896
mtcd+bsif;11x11;10;1;linear;100;99,896
mtcd+bsif;11x11;10;0,8;linear;100;99,896
mtcd+bsif;11x11;10;0,6;linear;100;99,896
mtcd+bsif;11x11;10;0,4;linear;100;99,896
mtcd+bsif;11x11;10;1;linear;10;99,896
mtcd+bsif;11x11;10;0,8;linear;10;99,896
mtcd+bsif;11x11;10;0,6;linear;10;99,896
mtcd+bsif;11x11;10;0,4;linear;10;99,896
mtcd+bsif;11x11;10;1;linear;1;99,896
mtcd+bsif;11x11;10;0,8;linear;1;99,896
mtcd+bsif;11x11;10;0,6;linear;1;99,896
mtcd+bsif;11x11;10;0,4;linear;1;99,896
mtcd+bsif;13x13;12;0,4;linear;100;99,896
mtcd+bsif;13x13;12;0,4;linear;10;99,896
