metode;size;bit;pca;tipe kernel;c;acc
bsif+mtcd;17x17;6;0,6;linear;100;99,896
bsif+mtcd;17x17;6;0,4;linear;100;99,896
bsif+mtcd;17x17;6;-;linear;10;99,896
bsif+mtcd;17x17;6;0,8;linear;10;99,896
bsif+mtcd;17x17;6;0,6;linear;10;99,896
bsif+mtcd;17x17;6;0,4;linear;10;99,896
bsif+mtcd;17x17;6;-;linear;1;99,896
bsif+mtcd;17x17;6;0,8;linear;1;99,896
bsif+mtcd;17x17;6;0,6;linear;1;99,896
bsif+mtcd;17x17;6;0,4;linear;1;99,896
bsif+mtcd;13x13;8;-;linear;100;99,896
bsif+mtcd;13x13;8;0,8;linear;100;99,896
bsif+mtcd;13x13;8;-;linear;10;99,896
bsif+mtcd;13x13;8;0,8;linear;10;99,896
bsif+mtcd;13x13;8;0,6;linear;10;99,896
bsif+mtcd;13x13;8;-;linear;1;99,896
bsif+mtcd;13x13;8;0,8;linear;1;99,896
bsif+mtcd;9x9;7;-;linear;100;99,896
bsif+mtcd;9x9;7;0,8;linear;100;99,896
bsif+mtcd;9x9;7;-;linear;10;99,896
bsif+mtcd;9x9;7;0,8;linear;10;99,896
bsif+mtcd;9x9;7;0,6;linear;10;99,896
bsif+mtcd;9x9;7;-;linear;1;99,896
bsif+mtcd;9x9;7;0,8;linear;1;99,896
bsif+mtcd;13x13;7;-;linear;100;99,896
bsif+mtcd;13x13;7;0,8;linear;100;99,896
bsif+mtcd;13x13;7;0,6;linear;100;99,896
bsif+mtcd;13x13;7;0,4;linear;100;99,896
bsif+mtcd;13x13;7;-;linear;10;99,896
bsif+mtcd;13x13;7;0,8;linear;10;99,896
bsif+mtcd;13x13;7;0,6;linear;10;99,896
bsif+mtcd;13x13;7;0,4;linear;10;99,896
bsif+mtcd;13x13;7;-;linear;1;99,896
bsif+mtcd;13x13;7;0,8;linear;1;99,896
bsif+mtcd;13x13;7;0,6;linear;1;99,896
bsif+mtcd;13x13;7;0,4;linear;1;99,896
bsif+mtcd;11x11;9;-;linear;100;99,896
bsif+mtcd;11x11;9;0,8;linear;100;99,896
bsif+mtcd;11x11;9;0,6;linear;100;99,896
bsif+mtcd;11x11;9;-;linear;10;99,896
bsif+mtcd;11x11;9;0,8;linear;10;99,896
bsif+mtcd;11x11;9;0,6;linear;10;99,896
